name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Camera tripod,PGYTECH,Mini Tripod Action Camera Tripod,Camera,95,g,24,,https://www.amazon.de/-/en/gp/product/B07T4NTNGQ/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,
Camera Floating Hand Grip,Homeet,Floating Hand Grip,Camera,75.4,g,13,,https://www.amazon.de/-/en/gp/product/B0742DDL57/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&th=1,
AirPods,Apple,AirPods Pro,Electronics,61,g,272,,,
Casual shoes,VIVOBAREFOOT,Primus Knit EZ Men,Footware,580,g,90,,https://www.amazon.de/-/en/gp/product/B08XWQR5VR/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,
Bowl,Sea to Summit,X-Bowl,Cookware,80,g,17,,https://seatosummitusa.com/collections/backpacking-camping-dinnerware/products/x-bowl,
Water Bottle,Vaude,Bike Bottle Organic,Water System,75,g,6,,https://www.amazon.de/gp/product/B081B1RPR6/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1,
Stove,Lixada,Gas Stove,Cookware,25,g,22,,https://www.lixada.com/p-y4728.html,
Folding Cap,,,Clothing,69,g,13,,https://www.amazon.de/-/en/gp/product/B071KQLJ1V/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,
Buff - Summer,,,Clothing,35,g,0,,,
3 Port Charger USB-C,Anker,PowerPort III,Electronics,131,g,70,,,
Tent,3F UL Gear,2018 3F UL LanShan 2 Person Tent,Shelter,1140,g,200,,https://www.amazon.de/-/en/gp/product/B09T389GZB/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,Without poles
Quilt,Sea to Summit,Cider Down Quilt Cd II Regular,Sleep System,660,g,249,,https://seatosummit.eu/products/cinder-down-quilt?variant=41699511107734,
Sleeping Mat,Sea to Summit,Ultralight Insulated Air Sleeping Mat,Sleep System,595,g,170,,https://seatosummit.eu/products/ultralight-insulated-mat?variant=41699437576342,Large
Cutlery (Spork),Outdoor Edge,Chowpal,Cookware,70,g,40,,https://www.outdooredge.com/products/chowpal?_pos=1&_sid=48c8a38ac&_ss=r,Including bag (2g)
Electronics Bag,Finpac,Electronics Bag,Electronics,168,g,15,,https://www.amazon.de/-/en/gp/product/B091BGMH52/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,
Cycling Rain Proof Jacket,Dynamics,Cycling Rain Jacket,Clothing,210,g,55,,https://shop.zweirad-stadler.de/fahrrad-bekleidung/herren-kaufen/regenbekleidung/regenjacken/dynamics-rain-jacket-fahrrad-regenjacke-herren.html,
Down Jacket,Uniqlo,Ultralight Down Jacket,Clothing,236,g,80,,https://www.uniqlo.com/us/en/products/E443318-000/00?colorDisplayCode=69&sizeDisplayCode=003,
Bandana,Karl Loven,Bandana,Miscellaneous,25,g,2,,https://www.amazon.de/-/en/gp/product/B08MQ3QZTB/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,
Hiking Socks - Summer,McKinley,Querter Socks,Footware,47,g,10,,https://www.amazon.de/-/en/McKINLEY-Stocking-Quarter-Socks-black/dp/B0745KCF8V/ref=sr_1_6?keywords=mckinley%2Bsocken%2Bherren&qid=1664630901&qu=eyJxc2MiOiIzLjU5IiwicXNhIjoiMi4yMCIsInFzcCI6IjEuNDMifQ%3D%3D&sprefix=mckinley%2Bsock%2Caps%2C107&sr=8-6&th=1&psc=1,
Deodorant,Salt Of The Earth,Natural Travel Size Crystal Deodorant,Toiletries,50,g,9,true,https://www.amazon.de/gp/product/B001F4HBB6/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,
Passport + BC,-,Passport,Miscellaneous,36,g,0,,,
Groceries Bag,,,Miscellaneous,35,g,0,,,
Power bank 5k MagSafe,Anker,PowerCore Magnetic 5K,Electronics,134,g,39,,https://www.anker.com/eu-de/products/a1619?variant=41884275474595,
Apple Watch 8,Apple,Apple Watch 8,Electronics,50,g,589,,,
Sunglasses,Mykita,,Miscellaneous,16,g,0,,,
Apple Watch Charging Cable,Apple,Watch Charging Cable,Electronics,31,g,29,,,
Tripod Phone Holder,,,Camera,54,g,0,,,
Hiking Shirt - Short,,,Clothing,158,g,0,,,
Solid Body Soap,,,Toiletries,72,g,0,true,,Including waterproof bag
Solid Shampoo/Conditioner ,,,Toiletries,37,g,0,true,,Including waterproof bag
Tweezers ,,,First Aid,5,g,0,,,
Sewing Thread + Needle,,,First Aid,2,g,0,true,,
Blister Pflaster,Compeed,,First Aid,20,g,0,true,,"9 finger size 
2 mid size 
2 big size 
Case"
Plasters,,,First Aid,15,g,0,true,,"6 regular 
2 square 
Case"
Scissors ,,,First Aid,7,g,0,,,
Elastic plaster strap ,,,First Aid,9,g,0,true,,
2 Safety pins,,,First Aid,1,g,0,,,
medical Tape ,BSN,Leukotape P,First Aid,20,g,0,true,,
